tid,lemma,is_anim,is_neg,towards_whom,moral_sense,civil,agency,rational,tweet
1392605800397512709,fare,1,1,pkk,0,1,0,0,@DerebeyiFeodal @biyunusss Fistanlı fare sizide görüyoruz cephede onların 100 de 1 i kadar omurgalı olun satılık kalleşler.  Kendilerini kürt zanneden onların haklarını savunduğunu zanneden avrupa rusya yalakası ermeni kalıntıları dedeleriniz o oyuna düştü aynı akıbet sizi de bekler..
1369581244946804738,fare,1,1,@,0,1,0,0,Mağarana sktir git o zaman zağros faresi!!! Diğer seçenek sarı torba!
1378798914799816708,fare,0,,,,,,,Kürt annelerinin bir sözü vardır. Wın kurbana zare xelkö bin diyen o zare xelkö KESİN DEMİRTAŞ TIR..
1380169364868059143,fare,1,1,tip,1,1,0,0,@TasdanSongul @VLenin10 @licely_cekoo21 @barisatay Dürüst olmak gerekirse ben cevap yazdığım icin pişman oldum bunlarda ne anlayacak zeka nede mazlum kürt halkına empati yapacak vicdan var bu lağam fareleri ayrıştımaktan kutuplaştırmaktan başka yetenekleri yok barbar bunlar barbar
1383607232982441987,fare,1,1,pkk,0,1,0,0,Bir Kürt olarak söylüyorum.  Hariciye Nazırlığı  Sefirliği harekete geçirse Çeçenler bu dağ faresi PKK’lıları 2 günde gömer geçer.
1348950062823563266,fare,1,1,pkk,0,1,0,0,Kürt varlığına armağan edebilirsin zeki dostum. Benim milletimin varlığı iki üç dağ faresine kalmadı sonuç olarak.
1352004798120419329,fare,1,1,hdp,0,1,0,0,@kurdishstruggle @blackveled11 @sap_man_kat @HDPgenelmerkezi Sen ve senin gibiler kürt kelimesini ağzıniza almayın çünkü ağzınız lağım kokuyor sizi gidi lağım fareleri sizi...
1327913227204882432,fare,1,1,pkk, hdp,0,1,0,0,@ozer_v Kürtlerin parasını pkk'ya verenler reise hakaret ediyor. Gel Türkiye'ye dediklerini yapmaya çalış bakalım. Seni layık olduğun deliğe tıkayalım dağ faresi.
1384472579382075393,fare,1,1,@,0,1,0,0,@rrukenurl_ @kumtemir_ahmet Hesabı silip kaçan elemanın attıkları mesaj. Nesrin suçsuz  bu mezopotamya faresi suçlu.Buradan da mağduriyet yaratmayın  ucuz propagandalarınız sıktı artık. Yok helikopterden attınız  yok Kürtçe konuştu diye bıçaklandı  yok Kürt işçiler ırkından dolayı dayak yedi. https://t.co/50TjpGSQUU
1389741134629511170,fare,0,,,,,,,Kürt annelerimiz -heyy tu kurbana zare qelkêbi Kürt çocuğu +bıra zare qelkê kurbanamınbın😅 Ma jımın çêtırın😅
1358683926265536512,fare,0,,,,,,,@EbubekirSifil   önüne bir şişe deve sidigi ve fare zehiri bırakıp iddiadan doğru isen bunları yer/içersin diyen  @ctaslaman  karşısında kedi gibi idi!  Değerli bir Kürt alimi olan Molla Sadullah şahsında bütün Kürt ulemasına kin kusmuş! Müstekbirsiniz! https://t.co/dFggcpvDfA
1336728664399093762,fare,1,1,?,0,1,0,0,Türk devleti artık gereğini yapmalı bu farelere
1368208205520789508,fare,0,,,,,,,Arkadaşlar bu da benim ev arkadaşım kürt bedo. Hiç bir özelliği yok anca yiyip içip yatıyor aq bunun ismini kürt bedo koyduğum güne yazıklar olsun geçen fare gördü 5 gündür korkudan evde hasta yatıyordu çok şükür bugün dirildi https://t.co/1CJn5qJ8Ee
1341273716278308865,fare,1,1,pkk,1,1,0,0,@Usta_d1 Faşist diyene bakkk hele! Kürtlerin kanını emen vampirler kendi faşizanlıklarını görmüyorlar başkalarına saldırıyorlarrr! Küçücük kızları Kandile kaçırıp Kandilin FARELERİNE cariye yaparken sesiniz soluğunuz çıkmıyordu! Kuyruğunuza basılınca cıyaklmaya başladınız! Haydi kodeseeee
1332029647526244352,fare,0,,,,,,,hem ırkçı hem şovenisttim yani sırf birini kürt diye döven (çok iri yarıydım) ateist hristiyan diye yargılayan bir tiptim o olayların üstüne ve kişisel buhranla jean meslier thomas more un ütopyası birde saçma gelicek ama fareler ve insanlar kitabı beni baştan aşağı değiştirdi
1360926218942631940,fare,1,1,pkk,0,1,0,0,Çok sevdiğim Kürt bir arkadaşlarım derdi hep İnsanlar Kürt ile pkklıyı ayırt edemiyor ben buna üzülüyorum diye... Bu ülkede bir insan Kürdüm derken utana sıkıla diyorsa Kürtlüğü kullanılan dağ fareleri yüzünden..  #KahrolsunPkk
1390240516181266434,fare,1,1,hdp,0,1,0,0,Mağara fareleri.
1380837926918049796,fare,1,1,turkiye,0,0,1,0,Oyuna geldik Dış güçlerin Atatürk ü kürt ve Din düşmanı ilan etme politikası tuttu ülkede bugün Atatürkçüyüm diyen kaç kişi kaldı? Avrupa yıllardır kedinin fare ile oynadığı gibi oynuyor Türkiye ile gidin bakın adamlarda Din nerde Devlet nerde başarının sırrı neymiş? #Cumartesi
1347955463921524738,fare,0,,,,,,,Kürtlerde Annem Ve Babam: Zare Halke Pice Ben: Bi bulamadık halkın çocuğunu
1336784901178351629,fare,1,1,pkk,0,1,0,0,@EmrahCacan2 Ben bir Kürt Biri olarak Söylüyorum Hdp Ve Onun Kolu Dağ Fareleri Biz Kürtleri Temsil Etmiyor Artık oyun Oynamayın Kürtler Üzerinden Çekin o Kanlı Elinizi Bizim üzerimizden Kürtler Vatanını Bayrağını Devletini Sevenleriz TEK DEVLET TEK MILLET TEK VATAN TEK BAYRAK @RTErdogan @BY
1383012589605638145,fare,1,1,hdp, pkk, ypg, isis,1,1,0,0,@serbesttsindi @Cebrail_arsln Saddamın zulümden ölümden kaçan binlerce insanı kürdü arabı hiristiyanı bağrına basıp koruyup kollayan besleyen Türrkiye Cumhuriyeti. Suriyeden milyonlara kucak açan TC. Böyle insanları koruyup kollayınca emperyalistler HDPKK/YPG + DEAS terör farelerini üstüne salar
1379887740884508676,fare,1,1,aykuterdogdu,0,1,0,0,@alpayozalan35 @aykuterdogdu #aykuterdoğdu SEN KİMSİN SEN KENDİNİ NE ZANNEDİYORSUN BU TOPRAKLAR BABANIZIN TAPULU MALI DEĞİL.  AYKUT MARDİNLİ KÜRD OĞLU KÜRDÜM SANA SESLENİYORUM BAŞKOMUTANIMIZ SAYIN RECEP TAYYİP ERDOĞAN'IN KILINA ZARAR GELİRSE KAÇACAK FARE DELİĞİ BULAMAYACAKSINIZ BUDA BÖYLE BİLİNE. https://t.co/HU0opFvI9k
1350913325127917574,fare,0,,,,,,,@juramentadox @beybunt Kürt alfabesi dediğin şeyin de yüzde sekseni nin faresi dillerden meydana geldiğini hatırlatırım
1338045231921582081,fare,1,1,pkk,0,1,0,0,Müslüman olan ve dağdaki farelerle işi olmayan #kürt benim kardeşimdir!.. Ne #kürt ler gördüm 1000 #türk e değişmem! Mesele bu ülkeyi yıllardır geri götürmüş terörle ve meclisteki sözcüleriyle iş tutmamak..
1348659207986425857,fare,1,1,ocalan,1,1,0,0,@Elegez9 @Jiyan515 @rainer1875 Peki İmralı faresi ne yapıyor kendisi için açlık grevi yaptırıyor kendisi için miting yaptırıyor kürtler ve KÜRDİSTAN için neden Birgün kendisi açlık grevine girsin hodri meydan
1359950693025603584,fare,1,1,dundarkilic,0,1,0,0,@gundinowho Dündar Kılıç'tır. Hüseyin Kabadayı daha sonra Kürt Cemal'in kardeşleri tarafında cehenneme gönderiliyor. Dündar Kılıç hapiste çıkar çıkmaz istanbula kaçıyor. Kürt Cemal'in akrabaları pesine düşüyor. Her seferinde mitin yardımıyla fareler gibi başka bir çukura kaçıyor.
1362690060366315521,fare,1,1,pkk, hdp, kurt,0,1,0,0,@jiyanaazad2121 @gergerliogluof @EmniyetGM https://t.co/q9LrKiOPHa sana Hakkarili Şırnaklı Kürtler cevap veriyor Allah sizin belanızı verecek girdiğiniz fare deliklerinde teker teker imha edileceksiniz
1347562848315207683,fare,1,1,pkk, kurt,0,1,0,0,@Darkwebhaber Heyetini dövdürerek mi ülke kuracakmış hsjdjdj cahil kürt de fare gibi mağarada sığınakta kalsın serhildan diyerek bomboş hamaset ya
1338167393890299906,fare,1,1,pkk,0,1,0,0,Biz korkuyu sizin babalarımız olan kandilin kalbine sapladik. Fare gibi korkuyorlar fare. #Ohhhhh #Ohhhhh
1346184890417602560,fare,1,1,@,0,1,0,0,@angryqueer3 Kürtler mert onurlu haysiyetli insanlar sen bildiğin Bizans dölüsün şerefini karakterini s**ktigimin lağım faresi
1353217376670650368,fare,0,,,,,,,Abe Kürt babaları genellikle bilmediklerimizi hemen okula https://t.co/ic8ZQeNvZNçen günü prizle uğraşıp yapamayınca babamTE ĞURBANE ZARE XELĞEBİdedi.!
1341003387769397248,fare,1,1,pkk, kurt,0,1,0,0,@arya_arya6 gösterdiğim bebekleri siz KATLETTİNİZ. SİZ KÜRTLERİ KATLETTİNİZ. SİZ EN ÇOK KÜRTLERE ZARAR VERDİNİZ. TANGA  ETEK GÜYMİŞ DAĞ FARELERİ ÜLKE KURACAKMIŞ BOK KURARSINIZ MADEM BU KADAR ONURLUSUNUZ MADEM BU KADAR GÜCLÜSÜNÜZ 1000SENEDİR 1 ÜLKE BİLE KURAMADINIZ DAĞ FARELERİ
1391151773088460800,fare,0,,,,,,,@animalsdoings @itoldmythe kürt fare
1338021292046479361,fare,1,1,mhp,1,1,0,0,Erdoğan Bahçeli MHP’li bir lağım faresi ve son olarak soylu KÜRT halkına hakarette yarışıyorlar   Bizler sabırlıyız ve ülkeye demokrasiyi kardeşliği hukuku sağduyumuzla getireceğiz   Bugün bu hakaretler karşısında tırsanlar susanlar demokrasi özgürlük konusunda dem vurmasınlar   https://t.co/bvYeAHkCbt
1326984017435127808,fare,0,,,,,,,Bir kürt ata sözü derki  Kurbana zare xelkibi
1339334112797216770,fare,1,1,bahceli,0,1,0,0,Lağım faresi baxçeli  açıkça Kürtlere soykırım yapalım diyor.
1343665955067588610,fare,0,,,,,,,@serenozgol @kolumanx @efe1010101 Ölen genclerimizi panzer in arkasina baglayip sürüklediler hapishane de lagim faresi yedirdiler diski yedirdiler hala insanlarimiz hapishanelerde iskence görüyor bu vicdansizliklara ses cikarmayanlar ne Kürt olabilir ne insan?filistin icin ses verenler Kürtler icin niye suskun?
1352046260467982339,fare,1,1,kurt,0,1,0,0,Kerkük Türk yurdudur Türk kalacak. Siz yurtsuz dağ fareleri rahatsız olacaksınız diye Bozkurt işreti yapmaktan vazgeçecek değiliz. Var olsun Türkmeneli  Var olsun @Ersatsalihi Başkan. Kudur...@RudawTurkce size Türk'ün gücünü göstereceğiz.
1378467487055032320,fare,1,1,metinozkan,0,1,0,0,@MetinOzkanTR Metin Özkan oğlum sen ne ayaksın lan sen kimin piçisin TV 📺 lere Çıkıp Kürtlere küfür etme onun bunun çocuğu lağım peri faresi. Kürt düşmanı pislik lağım Çukurusun oğlum sen
1337059172618211332,fare,1,1,?,0,1,0,0,Kürtlere havlayan lağam çukundaki fareler hoşttt#selahattindemirtasonurumuzdur
1327660241090207744,fare,0,,,,,,,@MsriKz4 Kürtler bugüne kadar birlik olmadıkları için hep kaybettiler? Sömürgeci devletler ise Kürtlerin bu bölük pörçüğinden faydalanarak ! Böl yönet politikalarını güncelleştirerek saltanatlarını sürdürmeye devam ediyorlar? Kurme’ fare’ jı fare’ nebe dar puç nabe !
1331904085633757185,fare,1,1,pkk,0,1,0,0,Jin jiyan  azadi ( kadın yaşam ve özgürlük diye ) Kürt kadınlarına kendi mitinglerinde slogan attıranlar ! Gelinlik giymesi gereken Kürt kızlarının eline silah verip kadınlığını ! Dağlara sürüp hayatını ! Fare deliklerinde yaşama mahkum edip özgürlüğünü elinden aldı #teslimolun
1326101286694088704,fare,1,1,jeffrey,1,0,0,0,Trump’ın kaybedeceğini gören   Recep Tayyip ve tayfasının çıkar dostu  Kürt düşmanı ABD Suriye Özel Temsilcisi FARE  Jeffrey  gemiyi terk eden ilk oldu. https://t.co/qSoPNgjL7b
1362655487297282049,fare,1,1,pkk,0,1,0,0,@_omerkls1 @kerim23_1997 @EmniyetGM @suleymansoylu boşver kardeş mezopotamya eşşeğinin teki işte kimse sana bu sözlerinden dolayı kırılan dağ fareleri için bu ülkede söz söyleyemez ya sevecekler yada geberecekler başka şansları yok yada T.C kimliğini bırakıp s2ktrolup gidecekler bu kadar basit bu arada bende kürdüm
1328018434223988737,fare,0,,,,,,,Şimdi ay Kürtçe ne güzel diye dinleyen vardır  şarkının sözleri  ...(bedenimizin) etini yedi fareler yılanlar.. evimizi yükledik göç ettik bu diyardan.. Diye devam ediyor. 38-39 da türk devletinin Dersimde yaptığı Kürt katlıyamını anlatıyor. #birbaskadırnetflix  #birbaskadır https://t.co/PSGsuaqjRB
1366878421800919043,fare,1,1,@,0,1,0,0,Demokrasinin Türk Milleti’ne sunduğu bu. Davar gibi satılan berdel malı bir Zağros faresinden kadına şiddet masalı dinlemek. Eruh’tan kumasının mobil verisiyle girmiş internete.
1337620648944922625,fare,1,1,pkk,0,1,0,0,@HDPgenelmerkezi Lan siz kim demokrasi kim teröristler. Dağda fare kalmadı tabi meclise çökmeye kalkıyorsunuz. Ülkücüler varken kılınızı bile kıpırdatamazsınız. Akıllı olacaksınız. Siz kendinizi bile temsil edemşyorken kucak kucak dolaşıyorlen siz kim Kürt Vatandaşları temsil etmek kim!
1388954425822167047,fare,0,,,,,,,Ama Gaffar Okan’ı kutsallaştırmayı bırakın. Yalnız Hapise giderken size darp edilmesine karşı durdu. Amed ceza evine o ve polis ekibi binlerce Kürt yolladı Orada oğlu önünde babaya copla tecavüz  tutsaklara ölü fare yedirme  kadınlara tecavüz ve işkence hepsi oldu. Ona ses etmedi
1338318708872257536,fare,1,1,hasipkaplan,0,1,0,0,@HasipKAPLAN Sen ve senin gibi kürt Türk düşmanları haşere den de kötüsünüz lagam fareleri
1346504483023577091,fare,1,1,hdp,0,0,1,0,@medreyata HDP kapatamazlar.1-kedinin fare ile oynadığı gibi oynayacaklar..2-avrupaya neden koz verelimülkede kürt sorunu yok bakın bunlar mecliste seçmen özgür şekilde oy kullanıyor istediği şehirde yaşayabiliyor.ANDIMIZI kimlikllerimizden TÜRK BAYRAĞINI kaldırdılar.
